title,release_date,budget,revenue,roi,year,lista_generos
The Tale of Despereaux,2008-12-19,60000000,50877145,0.8479524166666667,2008,"['Adventure', 'Animation', 'Family']"
The Tuxedo,2002-09-27,0,0,0.0,2002,"['Thriller', 'Action', 'Comedy', 'Science Fiction']"
Under Siege 2: Dark Territory,1995-07-13,60000000,104324083,1.7387347166666667,1995,"['Action', 'Thriller']"
Jack Ryan: Shadow Recruit,2014-01-15,60000000,50549107,0.8424851166666667,2014,"['Action', 'Drama', 'Thriller']"
Joy,2015-12-24,60000000,101134059,1.68556765,2015,"['Drama', 'Comedy']"
London Has Fallen,2016-03-02,60000000,205754447,3.4292407833333334,2016,"['Action', 'Crime', 'Thriller']"
Alien: Resurrection,1997-11-12,70000000,162000000,2.3142857142857145,1997,"['Science Fiction', 'Horror', 'Action']"
Shooter,2007-03-22,61000000,95696996,1.568803213114754,2007,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']"
The Boxtrolls,2014-09-10,60000000,108255770,1.8042628333333333,2014,"['Animation', 'Comedy', 'Family', 'Fantasy']"
Practical Magic,1998-10-16,75000000,46683377,0.6224450266666667,1998,"['Drama', 'Fantasy', 'Comedy']"
The Lego Movie,2014-02-06,60000000,469160692,7.8193448666666665,2014,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Miss Congeniality 2: Armed and Fabulous,2005-03-11,0,0,0.0,2005,"['Action', 'Comedy']"
Reign of Fire,2002-07-12,60000000,43061982,0.7176997,2002,"['Adventure', 'Action', 'Fantasy']"
Gangster Squad,2013-01-10,60000000,105200903,1.7533483833333334,2013,"['Crime', 'Drama', 'Action', 'Thriller']"
Year One,2009-06-18,60000000,62357900,1.0392983333333334,2009,"['Comedy', 'Adventure']"
Invictus,2009-12-10,60000000,122233971,2.03723285,2009,"['Drama', 'History']"
State of Play,2009-04-17,60000000,87784194,1.4630699,2009,['Action']
Duplicity,2009-03-19,78146652,60000000,0.7677872111526928,2009,"['Romance', 'Comedy', 'Crime']"
My Favorite Martian,1999-02-11,65000000,36850101,0.5669246307692307,1999,"['Comedy', 'Drama', 'Family', 'Science Fiction']"
The Sentinel,2006-04-19,60000000,77920346,1.2986724333333333,2006,"['Action', 'Thriller', 'Crime']"
Planet 51,2009-11-19,70000000,104945765,1.4992252142857143,2009,"['Science Fiction', 'Animation', 'Family', 'Comedy', 'Adventure']"
Star Trek: Nemesis,2002-12-13,60000000,67312826,1.1218804333333334,2002,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Intolerable Cruelty,2003-09-02,60000000,119940815,1.9990135833333333,2003,"['Crime', 'Comedy', 'Romance']"
Trouble with the Curve,2012-09-21,0,0,0.0,2012,"['Drama', 'Romance']"
Edge of Darkness,2010-01-29,80000000,74901339,0.9362667375,2010,"['Crime', 'Drama', 'Mystery', 'Thriller']"
The Relic,1997-01-10,60000000,33956608,0.5659434666666666,1997,"['Horror', 'Mystery', 'Thriller']"
Analyze That,2002-12-06,60000000,55003135,0.9167189166666667,2002,"['Comedy', 'Crime']"
Righteous Kill,2008-09-11,60000000,73174566,1.2195761,2008,"['Action', 'Crime', 'Drama', 'Thriller']"
Mercury Rising,1998-04-03,60000000,0,0.0,1998,"['Action', 'Crime', 'Drama', 'Thriller']"
The Soloist,2009-04-24,60000000,31720158,0.5286693,2009,['Drama']
The Legend of Bagger Vance,2000-11-02,80000000,39459427,0.4932428375,2000,"['Fantasy', 'Drama']"
Almost Famous,2000-09-15,60000000,47383689,0.78972815,2000,"['Drama', 'Music']"
Garfield: A Tail of Two Kitties,2006-06-15,0,141702264,0.0,2006,"['Animation', 'Comedy', 'Family']"
xXx: State of the Union,2005-04-27,60000000,71073932,1.1845655333333334,2005,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Priest,2011-05-05,60000000,78309131,1.3051521833333333,2011,"['Action', 'Science Fiction', 'Fantasy', 'Thriller', 'Horror']"
Sinbad: Legend of the Seven Seas,2003-07-02,60000000,26288320,0.4381386666666667,2003,"['Family', 'Animation', 'Adventure']"
Event Horizon,1997-08-15,60000000,26673242,0.4445540333333333,1997,"['Horror', 'Science Fiction', 'Mystery']"
Dragonfly,2002-02-22,60000000,52322400,0.87204,2002,['Drama']
The Black Dahlia,2006-09-15,50000000,49111202,0.98222404,2006,['Drama']
Flyboys,2006-09-22,60000000,17800000,0.2966666666666667,2006,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']"
The Last Castle,2001-10-19,72000000,27642707,0.38392648611111113,2001,"['Action', 'Drama', 'Thriller']"
Supernova,2000-01-14,90000000,14828081,0.16475645555555554,2000,"['Horror', 'Science Fiction', 'Thriller']"
Winter's Tale,2014-02-13,60000000,30800231,0.5133371833333333,2014,"['Drama', 'Fantasy', 'Mystery', 'Romance']"
The Mortal Instruments: City of Bones,2013-08-21,60000000,90565421,1.5094236833333334,2013,"['Action', 'Adventure', 'Drama', 'Mystery', 'Romance', 'Fantasy']"
Meet Dave,2008-07-08,60000000,50650079,0.8441679833333333,2008,"['Comedy', 'Science Fiction', 'Adventure', 'Family']"
Dark Water,2005-06-27,30000000,25473093,0.8491031,2005,"['Drama', 'Horror', 'Thriller']"
Edtv,1999-03-26,80000000,0,0.0,1999,['Comedy']
Inkheart,2008-12-11,60000000,57490374,0.9581729,2008,"['Adventure', 'Family', 'Fantasy']"
The Spirit,2008-12-25,60000000,39031337,0.6505222833333333,2008,"['Action', 'Comedy', 'Thriller', 'Crime', 'Science Fiction']"
Mortdecai,2015-01-21,60000000,30418560,0.506976,2015,"['Comedy', 'Adventure']"
In the Name of the King: A Dungeon Siege Tale,2007-11-29,60000000,0,0.0,2007,"['Adventure', 'Fantasy', 'Action', 'Drama']"
Beyond Borders,2003-10-23,35000000,0,0.0,2003,"['Drama', 'Romance', 'Adventure', 'War']"
The Monkey King 2,2016-01-22,68490000,193677158,2.8278165863629727,2016,"['Action', 'Adventure', 'Fantasy']"
The Great Raid,2005-08-12,80000000,10166502,0.127081275,2005,"['Action', 'History', 'War']"
Deadpool,2016-02-09,58000000,783112979,13.501947913793103,2016,"['Action', 'Adventure', 'Comedy']"
Holy Man,1998-10-08,60000000,0,0.0,1998,"['Drama', 'Comedy']"
American Sniper,2014-12-11,58800000,542307423,9.222915357142858,2014,"['War', 'Action']"
Goosebumps,2015-08-05,58000000,158162788,2.7269446206896553,2015,"['Adventure', 'Horror', 'Comedy']"
Just Like Heaven,2005-09-16,58000000,102854431,1.7733522586206896,2005,"['Comedy', 'Fantasy', 'Romance']"
The Flintstones in Viva Rock Vegas,2000-04-28,83000000,59468275,0.7164852409638555,2000,"['Science Fiction', 'Comedy', 'Family', 'Romance']"
Rambo III,1988-05-24,63000000,189015611,3.000247793650794,1988,"['Action', 'Adventure', 'Thriller', 'War']"
Leatherheads,2008-03-24,58000000,41299492,0.7120602068965517,2008,"['Comedy', 'Romance', 'Drama']"
The Ridiculous 6,2015-12-11,60000000,0,0.0,2015,"['Comedy', 'Western']"
Did You Hear About the Morgans?,2009-12-17,58000000,85280250,1.4703491379310345,2009,['Comedy']
The Internship,2013-06-07,58000000,44000000,0.7586206896551724,2013,['Comedy']
Resident Evil: Afterlife,2010-09-09,60000000,300228084,5.0038014,2010,"['Action', 'Adventure', 'Horror', 'Science Fiction']"
Red Tails,2012-01-19,58000000,50365377,0.8683685689655173,2012,"['Drama', 'Action', 'Adventure', 'History', 'War']"
The Devil's Advocate,1997-10-17,57000000,152944660,2.683239649122807,1997,"['Drama', 'Horror', 'Mystery', 'Thriller']"
That's My Boy,2012-06-14,70000000,58058367,0.8294052428571429,2012,['Comedy']
DragonHeart,1996-05-31,57000000,115267375,2.022234649122807,1996,['Fantasy']
After the Sunset,2004-11-12,60000000,61347797,1.0224632833333334,2004,"['Action', 'Comedy', 'Crime', 'Drama']"
Ghost Rider: Spirit of Vengeance,2011-12-10,57000000,149217355,2.6178483333333333,2011,"['Action', 'Fantasy', 'Thriller']"
Captain Corelli's Mandolin,2001-08-17,57000000,62112895,1.0896999122807018,2001,"['Drama', 'History', 'Romance']"
The Pacifier,2005-03-04,56000000,113006880,2.01798,2005,"['Action', 'Comedy', 'Drama', 'Family', 'Thriller']"
Walking Tall,2004-04-02,56000000,57223890,1.0218551785714285,2004,"['Adventure', 'Drama', 'Action', 'Thriller']"
Forrest Gump,1994-07-06,55000000,677945399,12.326279981818182,1994,"['Comedy', 'Drama', 'Romance']"
Alvin and the Chipmunks,2007-12-13,60000000,361366633,6.022777216666666,2007,"['Comedy', 'Music', 'Family', 'Fantasy', 'Animation']"
Meet the Parents,2000-10-06,55000000,330444045,6.008073545454545,2000,"['Comedy', 'Romance']"
Pocahontas,1995-06-14,55000000,346079773,6.292359509090909,1995,"['Adventure', 'Animation', 'Drama', 'Family']"
Superman,1978-12-13,55000000,300218018,5.458509418181818,1978,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
The Nutty Professor,1996-06-26,54000000,128769345,2.3846175,1996,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']"
Hitch,2005-02-10,70000000,368100420,5.258577428571429,2005,"['Comedy', 'Drama', 'Romance']"
George of the Jungle,1997-07-15,55000000,0,0.0,1997,"['Adventure', 'Comedy', 'Family', 'Romance']"
American Wedding,2003-08-01,55000000,231449203,4.208167327272728,2003,"['Comedy', 'Romance']"
Captain Phillips,2013-10-10,55000000,95000000,1.7272727272727273,2013,"['Action', 'Drama', 'Thriller']"
Date Night,2010-04-08,55000000,152263880,2.768434181818182,2010,['Comedy']
Casper,1995-05-26,50000000,287928194,5.75856388,1995,"['Fantasy', 'Comedy', 'Family']"
The Equalizer,2014-09-24,55000000,192330738,3.496922509090909,2014,"['Thriller', 'Action', 'Crime']"
Maid in Manhattan,2002-12-13,55000000,154906693,2.8164853272727273,2002,"['Comedy', 'Drama', 'Romance']"
Crimson Tide,1995-05-12,53000000,157387195,2.969569716981132,1995,"['Action', 'Thriller', 'Drama']"
The Pursuit of Happyness,2006-12-14,55000000,307077295,5.583223545454546,2006,['Drama']
Flightplan,2005-09-22,55000000,223387299,4.061587254545454,2005,"['Thriller', 'Drama', 'Mystery']"
Disclosure,1994-12-09,55000000,214015089,3.891183436363636,1994,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']"
City of Angels,1998-04-10,55000000,198685114,3.612456618181818,1998,"['Drama', 'Fantasy', 'Romance']"
Kill Bill: Vol. 1,2003-10-10,30000000,180949000,6.031633333333334,2003,"['Action', 'Crime']"
Bowfinger,1999-08-12,55000000,0,0.0,1999,['Comedy']
Kill Bill: Vol. 2,2004-04-16,30000000,152159461,5.071982033333334,2004,"['Action', 'Crime', 'Thriller']"
Tango & Cash,1989-12-22,55000000,63408614,1.1528838909090908,1989,"['Action', 'Adventure', 'Comedy']"
Death Becomes Her,1992-07-30,55000000,149022650,2.7095027272727275,1992,"['Fantasy', 'Comedy']"
Shanghai Noon,2000-05-26,55000000,56932305,1.0351328181818182,2000,"['Adventure', 'Action', 'Comedy', 'Western']"
Executive Decision,1996-03-15,55000000,121969216,2.217622109090909,1996,"['Action', 'Adventure', 'Drama', 'Thriller']"
Mr. Popper's Penguins,2011-06-17,55000000,187361754,3.4065773454545454,2011,"['Comedy', 'Family']"
The Forbidden Kingdom,2008-04-18,55000000,127906624,2.325574981818182,2008,"['Action', 'Adventure', 'Fantasy']"
Free Birds,2013-10-30,55000000,110000000,2.0,2013,"['Animation', 'Comedy', 'Family']"
Alien³,1992-05-22,50000000,159773545,3.1954709,1992,"['Science Fiction', 'Action', 'Horror']"
Evita,1996-12-14,55000000,141047179,2.564494163636364,1996,"['History', 'Drama', 'Music']"
Ronin,1998-09-25,55000000,41610884,0.7565615272727273,1998,"['Action', 'Thriller', 'Crime', 'Adventure']"
The Ghost and the Darkness,1996-10-11,50000000,75000000,1.5,1996,['Adventure']
Paddington,2014-11-27,55000000,259207227,4.712858672727273,2014,"['Family', 'Comedy']"
The Watch,2012-07-26,68000000,68267862,1.0039391470588235,2012,['Comedy']
The Hunted,2003-03-11,55000000,34234008,0.6224365090909091,2003,"['Drama', 'Action', 'Thriller', 'Crime']"
Instinct,1999-06-04,80000000,0,0.0,1999,"['Drama', 'Mystery', 'Thriller']"
Stuck on You,2003-12-10,55000000,33828318,0.6150603272727273,2003,['Comedy']
Semi-Pro,2008-02-28,0,33472850,0.0,2008,['Comedy']
The Pirates! In an Adventure with Scientists!,2012-03-12,60000000,118338361,1.9723060166666666,2012,"['Animation', 'Adventure', 'Family', 'Comedy']"
Changeling,2008-01-30,55000000,113020255,2.0549137272727274,2008,"['Crime', 'Drama', 'Mystery']"
Chain Reaction,1996-08-02,50000000,60209334,1.20418668,1996,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
The Fan,1996-08-15,55000000,18626419,0.33866216363636364,1996,"['Drama', 'Mystery', 'Thriller']"
The Phantom of the Opera,2004-12-08,70000000,154648887,2.2092698142857143,2004,"['Thriller', 'Drama', 'Romance']"
Elizabeth: The Golden Age,2007-09-09,55000000,74237563,1.3497738727272728,2007,"['Drama', 'History', 'Romance']"
Æon Flux,2005-11-30,62000000,52304001,0.8436129193548387,2005,"['Action', 'Science Fiction']"
Gods and Generals,2003-02-21,56000000,12923936,0.23078457142857142,2003,"['Drama', 'History', 'War']"
Turbulence,1997-01-09,55000000,11466088,0.20847432727272727,1997,"['Action', 'Thriller', 'Crime']"
Imagine That,2009-06-19,55000000,0,0.0,2009,['Comedy']
Muppets Most Wanted,2014-03-20,50000000,80383290,1.6076658,2014,"['Comedy', 'Adventure', 'Crime', 'Family']"
Thunderbirds,2004-07-23,57000000,28283637,0.4962041578947368,2004,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']"
Burlesque,2010-11-23,55000000,89519773,1.6276322363636364,2010,"['Drama', 'Romance']"
A Very Long Engagement,2004-10-26,47000000,0,0.0,2004,['Drama']
Lolita,1962-06-13,2000000,9250000,4.625,1962,"['Drama', 'Romance']"
D-Tox,2002-01-04,55000000,6416302,0.11666003636363637,2002,"['Action', 'Thriller']"
Blade II,2002-03-22,54000000,155010032,2.870556148148148,2002,"['Fantasy', 'Horror', 'Action', 'Thriller']"
Seven Pounds,2008-12-18,55000000,168167691,3.057594381818182,2008,['Drama']
Bullet to the Head,2013-01-31,55000000,9489829,0.17254234545454544,2013,"['Action', 'Crime', 'Thriller']"
The Godfather: Part III,1990-12-24,54000000,136766062,2.532704851851852,1990,"['Crime', 'Drama', 'Thriller']"
Elizabethtown,2005-10-06,57000000,52034889,0.9128927894736842,2005,"['Comedy', 'Drama', 'Romance']"
"You, Me and Dupree",2006-07-14,54000000,130431368,2.4153957037037035,2006,"['Comedy', 'Romance']"
Superman II,1980-12-04,54000000,190458706,3.527013074074074,1980,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Gigli,2003-08-01,54000000,7266209,0.13455942592592593,2003,['Drama']
All the King's Men,2006-09-10,55000000,9450897,0.17183449090909092,2006,"['Drama', 'Thriller']"
Shaft,2000-06-15,46000000,107196498,2.330358652173913,2000,"['Action', 'Adventure', 'Crime', 'Thriller']"
Anastasia,1997-11-20,53000000,139804348,2.637817886792453,1997,"['Animation', 'Family']"
Moulin Rouge!,2001-03-09,52500000,179213434,3.413589219047619,2001,"['Drama', 'Music', 'Romance']"
Domestic Disturbance,2001-10-30,75000000,54249294,0.72332392,2001,"['Mystery', 'Thriller', 'Crime']"
Black Mass,2015-09-04,53000000,98837872,1.8648655094339623,2015,"['Crime', 'Drama']"
Flags of Our Fathers,2006-10-18,90000000,65900249,0.7322249888888889,2006,"['War', 'Drama', 'History']"
Law Abiding Citizen,2009-10-15,53000000,126690726,2.3903910566037734,2009,"['Drama', 'Crime', 'Thriller']"
Grindhouse,2007-04-06,67000000,25037897,0.3736999552238806,2007,"['Thriller', 'Action', 'Horror']"
Beloved,1998-10-16,0,0,0.0,1998,"['Drama', 'Thriller']"
Lucky You,2007-05-01,0,5761917,0.0,2007,"['Drama', 'Romance']"
Catch Me If You Can,2002-12-25,52000000,352114312,6.771429076923077,2002,"['Drama', 'Crime']"
Zero Dark Thirty,2012-12-19,40000000,132820716,3.3205179,2012,"['Thriller', 'Drama', 'History']"
The Break-Up,2006-06-01,52000000,204999686,3.9423016538461537,2006,"['Romance', 'Comedy']"
Mamma Mia!,2008-07-03,52000000,609841637,11.727723788461539,2008,"['Comedy', 'Romance']"
Valentine's Day,2010-02-10,52000000,216485654,4.163185653846154,2010,"['Comedy', 'Romance']"
The Dukes of Hazzard,2005-08-05,50000000,110803676,2.21607352,2005,"['Action', 'Adventure', 'Comedy']"
The Thin Red Line,1998-12-25,52000000,98126565,1.887049326923077,1998,"['Drama', 'History', 'War']"
The Change-Up,2011-08-05,52000000,75450437,1.4509699423076923,2011,['Comedy']
Man on the Moon,1999-12-22,82000000,47434430,0.5784686585365854,1999,"['Comedy', 'Drama', 'Romance']"
Casino,1995-11-22,52000000,116112375,2.2329302884615383,1995,"['Drama', 'Crime']"
From Paris with Love,2010-02-05,52000000,52826594,1.0158960384615385,2010,"['Action', 'Crime', 'Thriller']"
Bulletproof Monk,2003-03-28,52000000,0,0.0,2003,"['Action', 'Comedy', 'Fantasy']"
"Me, Myself & Irene",2000-06-22,51000000,149270999,2.9268823333333334,2000,['Comedy']
Barnyard,2006-08-04,51000000,72779000,1.4270392156862746,2006,"['Animation', 'Comedy', 'Family']"
Deck the Halls,2006-11-22,0,47231070,0.0,2006,"['Comedy', 'Family']"
The Twilight Saga: New Moon,2009-03-15,50000000,709827462,14.19654924,2009,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
Shrek,2001-05-16,60000000,484409218,8.073486966666668,2001,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
The Adjustment Bureau,2011-03-03,50200000,127869379,2.5471987848605577,2011,"['Science Fiction', 'Thriller', 'Romance']"
Robin Hood: Prince of Thieves,1991-06-14,48000000,390493908,8.13528975,1991,['Adventure']
Jerry Maguire,1996-12-06,50000000,273552592,5.47105184,1996,"['Comedy', 'Drama', 'Romance']"
Ted,2012-06-29,50000000,549368315,10.9873663,2012,"['Comedy', 'Fantasy']"
As Good as It Gets,1997-12-19,50000000,314178011,6.28356022,1997,"['Comedy', 'Romance']"
Patch Adams,1998-12-25,50000000,202292902,4.04585804,1998,"['Comedy', 'Drama']"
Anchorman 2: The Legend Continues,2013-12-18,50000000,173649015,3.4729803,2013,['Comedy']
Mr. Deeds,2002-06-28,50000000,171269535,3.4253907,2002,"['Comedy', 'Romance']"
Super 8,2011-06-08,50000000,260095987,5.20191974,2011,"['Thriller', 'Science Fiction', 'Mystery']"
Erin Brockovich,2000-03-17,52000000,256271286,4.928293961538461,2000,['Drama']
How to Lose a Guy in 10 Days,2003-02-07,50000000,177371441,3.54742882,2003,"['Comedy', 'Romance']"
22 Jump Street,2014-06-05,50000000,188441614,3.76883228,2014,"['Crime', 'Comedy', 'Action']"
Interview with the Vampire,1994-11-11,60000000,223664608,3.7277434666666664,1994,"['Horror', 'Romance']"
Yes Man,2008-12-09,70000000,225990978,3.228442542857143,2008,['Comedy']
Central Intelligence,2016-06-15,50000000,216972543,4.33945086,2016,"['Action', 'Comedy']"
Stepmom,1998-12-25,0,0,0.0,1998,"['Drama', 'Romance']"
Daddy's Home,2015-12-25,50000000,242786137,4.85572274,2015,['Comedy']
Into the Woods,2014-12-25,50000000,212902372,4.25804744,2014,"['Fantasy', 'Comedy', 'Music']"
Inside Man,2006-03-23,45000000,184376254,4.097250088888889,2006,"['Crime', 'Drama', 'Thriller']"
Payback,1999-02-05,90000000,161626121,1.7958457888888888,1999,"['Drama', 'Action', 'Thriller', 'Crime']"
Congo,1995-06-09,50000000,152022101,3.04044202,1995,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']"
We Bought a Zoo,2011-12-22,50000000,120081841,2.40163682,2011,"['Drama', 'Comedy', 'Family']"
Knowing,2009-03-19,50000000,155446362,3.10892724,2009,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']"
Failure to Launch,2006-03-10,50000000,88715192,1.77430384,2006,['Comedy']
The Ring Two,2005-03-17,50000000,161451538,3.22903076,2005,"['Drama', 'Horror', 'Thriller']"
"Crazy, Stupid, Love.",2011-07-29,50000000,142851197,2.85702394,2011,"['Comedy', 'Drama', 'Romance']"
Garfield,2004-06-10,50000000,200804534,4.01609068,2004,"['Animation', 'Comedy', 'Family']"
Christmas with the Kranks,2004-11-24,60000000,0,0.0,2004,"['Comedy', 'Family']"
Moneyball,2011-09-22,50000000,110206216,2.20412432,2011,['Drama']
Outbreak,1995-03-10,50000000,189859560,3.7971912,1995,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
Non-Stop,2014-01-26,50000000,222809600,4.456192,2014,"['Action', 'Thriller', 'Mystery']"
Race to Witch Mountain,2009-03-12,50000000,106303988,2.12607976,2009,"['Adventure', 'Family', 'Fantasy', 'Science Fiction', 'Thriller', 'Action']"
V for Vendetta,2006-03-15,54000000,132511035,2.4539080555555555,2006,"['Action', 'Thriller', 'Fantasy']"
Shanghai Knights,2003-02-06,50000000,88323487,1.76646974,2003,"['Action', 'Adventure', 'Comedy', 'Western']"
Curious George,2006-02-10,50000000,69834815,1.3966963,2006,"['Adventure', 'Animation', 'Comedy', 'Family']"
Herbie Fully Loaded,2005-06-22,50000000,66002004,1.32004008,2005,"['Comedy', 'Family', 'Adventure', 'Fantasy', 'Romance']"
Don't Say a Word,2001-09-28,50000000,100020092,2.00040184,2001,['Thriller']
Hansel & Gretel: Witch Hunters,2013-01-17,50000000,224803475,4.4960695,2013,"['Fantasy', 'Horror', 'Action']"
Unfaithful,2002-05-10,50000000,119137784,2.38275568,2002,"['Thriller', 'Drama']"
I Am Number Four,2011-02-18,50000000,144492830,2.8898566,2011,"['Action', 'Thriller', 'Science Fiction', 'Adventure']"
Syriana,2005-11-23,50000000,94000000,1.88,2005,"['Drama', 'Thriller']"
13 Hours: The Secret Soldiers of Benghazi,2016-01-13,50000000,69411370,1.3882274,2016,"['Action', 'Drama', 'History', 'Thriller', 'War']"
The Book of Life,2014-10-01,50000000,97437106,1.94874212,2014,"['Romance', 'Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Firewall,2006-02-10,45000000,82800000,1.84,2006,['Thriller']
Absolute Power,1997-02-14,50000000,50068310,1.0013662,1997,"['Crime', 'Drama', 'Thriller']"
G.I. Jane,1997-08-22,50000000,48169156,0.96338312,1997,"['Action', 'Drama']"
The Game,1997-09-12,50000000,109423648,2.18847296,1997,"['Drama', 'Thriller', 'Mystery']"
Silent Hill,2006-04-21,50000000,97607453,1.95214906,2006,"['Horror', 'Mystery']"
The Replacements,2000-08-07,0,0,0.0,2000,['Comedy']
American Reunion,2012-04-04,50000000,234989584,4.69979168,2012,['Comedy']
The Negotiator,1998-07-29,50000000,44547681,0.89095362,1998,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Into the Storm,2014-08-06,50000000,160602194,3.21204388,2014,"['Action', 'Thriller']"
Beverly Hills Cop III,1994-05-24,50000000,119208989,2.38417978,1994,"['Action', 'Comedy', 'Crime']"
Gremlins 2: The New Batch,1990-06-15,50000000,41482207,0.82964414,1990,"['Comedy', 'Horror', 'Fantasy']"
The Judge,2014-10-08,50000000,83719388,1.67438776,2014,['Drama']
The Peacemaker,1997-09-26,50000000,0,0.0,1997,"['Action', 'Thriller']"
Resident Evil: Apocalypse,2004-09-10,45000000,129394835,2.875440777777778,2004,"['Horror', 'Action', 'Science Fiction']"
Bridget Jones: The Edge of Reason,2004-11-10,50000000,40203020,0.8040604,2004,"['Comedy', 'Romance']"
Out of Time,2003-10-03,50000000,55495563,1.10991126,2003,"['Thriller', 'Crime', 'Drama']"
On Deadly Ground,1994-02-18,50000000,49000000,0.98,1994,"['Action', 'Thriller']"
The Adventures of Sharkboy and Lavagirl,2005-06-10,50000000,69425966,1.38851932,2005,"['Adventure', 'Family', 'Science Fiction']"
The Beach,2000-02-11,40000000,144056873,3.601421825,2000,"['Drama', 'Adventure', 'Romance', 'Thriller']"
Raising Helen,2004-05-27,50000000,49718611,0.99437222,2004,"['Drama', 'Comedy', 'Romance']"
Ninja Assassin,2009-09-29,40000000,60462347,1.511558675,2009,"['Action', 'Crime', 'Thriller']"
For Love of the Game,1999-09-17,50000000,0,0.0,1999,"['Drama', 'Romance']"
Striptease,1996-06-28,50000000,113309743,2.26619486,1996,"['Drama', 'Thriller', 'Crime']"
Marmaduke,2010-06-04,50000000,83761844,1.67523688,2010,"['Family', 'Comedy']"
Hereafter,2010-10-15,50000000,105197635,2.1039527,2010,"['Drama', 'Fantasy']"
Murder by Numbers,2002-04-19,50000000,56714147,1.13428294,2002,"['Crime', 'Drama', 'Thriller']"
Assassins,1995-10-06,50000000,30303072,0.60606144,1995,"['Action', 'Adventure', 'Crime', 'Thriller']"
Hannibal Rising,2007-02-06,50000000,82169884,1.64339768,2007,"['Crime', 'Drama', 'Thriller']"
The Story of Us,1999-10-13,50000000,58900031,1.17800062,1999,"['Comedy', 'Drama', 'Romance']"
The Host,2013-03-22,44000000,63327201,1.439254568181818,2013,"['Action', 'Adventure', 'Romance', 'Science Fiction', 'Thriller']"
Basic,2003-04-18,50000000,42792561,0.85585122,2003,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']"
Blood Work,2002-08-04,50000000,26199517,0.52399034,2002,"['Crime', 'Drama', 'Mystery', 'Thriller']"
The International,2009-02-03,50000000,60161391,1.20322782,2009,"['Drama', 'Thriller', 'Crime']"
Escape from L.A.,1996-08-09,50000000,42277365,0.8455473,1996,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
The Iron Giant,1999-08-06,70000000,23159305,0.3308472142857143,1999,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']"
The Life Aquatic with Steve Zissou,2004-12-10,50000000,34808403,0.69616806,2004,"['Adventure', 'Comedy', 'Drama']"
Free State of Jones,2016-06-24,50000000,25035950,0.500719,2016,"['War', 'Action', 'Drama', 'History', 'Thriller']"
The Life of David Gale,2003-02-21,50000000,38955598,0.77911196,2003,"['Drama', 'Thriller', 'Crime']"
Man of the House,2005-02-25,40000000,0,0.0,2005,"['Comedy', 'Action']"
Run All Night,2015-03-11,50000000,71561644,1.43123288,2015,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Eastern Promises,2007-09-14,51500000,55112356,1.0701428349514563,2007,"['Thriller', 'Crime', 'Mystery']"
Into the Blue,2005-09-30,50000000,44434439,0.88868878,2005,"['Action', 'Thriller', 'Adventure', 'Crime']"
The Messenger: The Story of Joan of Arc,1999-10-18,60000000,66976317,1.11627195,1999,"['Adventure', 'Drama', 'Action', 'History', 'War']"
Your Highness,2011-04-08,49900000,26121638,0.5234797194388777,2011,['Comedy']
Dream House,2011-09-30,50000000,38502340,0.7700468,2011,"['Drama', 'Thriller', 'Mystery']"
Mad City,1997-11-07,50000000,10541523,0.21083046,1997,"['Action', 'Drama', 'Thriller']"
Baby's Day Out,1994-07-01,50000000,16671505,0.3334301,1994,"['Action', 'Adventure', 'Comedy', 'Family']"
The Scarlet Letter,1995-10-13,50000000,10382407,0.20764814,1995,"['Drama', 'History', 'Romance']"
Fair Game,2010-05-20,22000000,24188922,1.0994964545454546,2010,"['Drama', 'Thriller']"
Domino,2005-09-22,50000000,22944502,0.45889004,2005,"['Action', 'Crime']"
Jade,1995-10-13,50000000,9851610,0.1970322,1995,"['Action', 'Thriller', 'Mystery', 'Romance']"
Gamer,2009-09-03,50000000,40828540,0.8165708,2009,"['Action', 'Thriller', 'Science Fiction']"
